code,name,Performing arts attendance percentage,Museums and galleries attendance percentage
E36006804,Bablake,7,4
E36006805,Binley and Willenhall,5,4
E36006806,Cheylesmore,6,10
E36006807,Earlsdon,9,15
E36006808,Foleshill,1,2
E36006809,Henley,4,2
E36006810,Holbrook,4,1
E36006811,Longford,4,2
E36006812,Lower Stoke,6,5
E36006813,Radford,4,4
E36006814,Sherbourne,7,6
E36006815,St Michael's,3,6
E36006816,Upper Stoke,4,3
E36006817,Wainbody,9,13
E36006818,Westwood,6,8
E36006819,Whoberley,8,7
E36006820,Woodlands,7,4
E36006821,Wyken,6,2
